,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ancud,-41.8697,-73.8203,42.01,100,20,3.44,CL,1620702783
1,port lincoln,-7.0349,29.7638,67.35,76,50,6.4,CD,1620702783
2,luderitz,-26.6481,15.1594,68.52,41,0,4.21,NA,1620702784
3,kupang,-10.1667,123.5833,87.8,58,20,18.41,ID,1620702784
4,albany,42.6001,-73.9662,51.01,75,87,5.84,US,1620702772
5,inhambane,-23.865,35.3833,70.52,77,70,7.11,MZ,1620702784
6,mayo,38.8876,-76.5119,57.99,58,1,4.61,US,1620702785
7,barrow,71.2906,-156.7887,19.4,86,90,13.8,US,1620702785
8,ushuaia,-54.8,-68.3,50.0,53,40,19.57,AR,1620702511
9,busselton,-33.65,115.3333,73.0,57,65,5.01,AU,1620702785
10,jamestown,42.097,-79.2353,42.8,75,75,5.75,US,1620702709
11,hobart,-42.8794,147.3294,53.01,46,75,10.36,AU,1620702600
12,dali,25.7,100.1833,71.62,41,0,6.53,CN,1620702786
13,mataura,-46.1927,168.8643,46.99,94,100,11.99,NZ,1620702786
14,khairpur,27.5295,68.7617,86.0,58,19,9.22,PK,1620702786
15,boende,-0.2167,20.8667,70.75,99,100,2.71,CD,1620702786
16,rikitea,-23.1203,-134.9692,77.94,75,100,25.84,PF,1620702787
17,nikolskoye,59.7035,30.7861,55.99,62,0,8.95,RU,1620702787
18,carnarvon,-24.8667,113.6333,82.4,36,12,10.36,AU,1620702787
19,shimoda,34.6667,138.95,68.0,64,40,13.8,JP,1620702787
20,east london,65.0,-15.0,30.2,86,75,9.22,IS,1620702788
21,provideniya,64.3833,-173.3,37.4,81,90,15.66,RU,1620702788
22,lander,42.833,-108.7307,41.0,100,90,9.22,US,1620702788
23,carutapera,-1.195,-46.02,74.52,93,22,4.7,BR,1620702788
24,nevsehir,38.9167,34.6667,32.0,69,0,4.61,TR,1620702542
25,vaini,-21.2,-175.2,77.0,73,75,10.36,TO,1620702789
26,labuhan,-6.8844,112.2051,85.69,68,9,5.37,ID,1620702789
27,waipawa,-41.4122,175.5153,62.6,88,75,27.63,NZ,1620702789
28,qaanaaq,77.484,-69.3632,14.72,87,100,4.9,GL,1620702790
29,nago,26.5881,127.9761,84.2,74,90,16.11,JP,1620702790
30,finschhafen,-6.6024,147.8681,84.11,71,98,7.27,PG,1620702790
31,butaritari,3.0707,172.7902,81.75,80,61,12.26,KI,1620702790
32,nelson bay,-41.2833,173.2833,64.99,95,96,3.0,NZ,1620702791
33,santa cruz,17.486,120.4348,91.0,56,36,9.31,PH,1620702791
34,castelo do piaui,-20.6036,-41.1847,61.36,91,70,2.04,BR,1620702791
35,yellowknife,62.456,-114.3525,35.6,75,90,13.8,CA,1620702791
36,mount isa,53.6597,-1.8537,45.0,85,2,1.99,GB,1620702792
37,norman wells,35.2226,-97.4395,59.0,67,90,10.36,US,1620702792
